id,symbol,name,current_price,market_cap,price_change_percentage_24h,total_volume,pulled_at
usds,usds,USDS,0.999878,7129759244.0,0.00816,3994385.0,06/21/2025 21:53
avalanche-2,avax,Avalanche,16.73,7043574108.0,-4.59305,392054262.0,06/21/2025 21:53
the-open-network,ton,Toncoin,2.84,7010790510.0,-2.99967,158241781.0,06/21/2025 21:53
whitebit,wbt,WhiteBIT Coin,48.53,6993622543.0,-1.02464,44144548.0,06/21/2025 21:53
shiba-inu,shib,Shiba Inu,1.082e-05,6375761281.0,-5.10009,146383116.0,06/21/2025 21:53
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.001,6293396167.0,0.17939,4975323879.0,06/21/2025 21:53
litecoin,ltc,Litecoin,80.24,6093869178.0,-3.77613,299682558.0,06/21/2025 21:53
weth,weth,WETH,2261.71,5953948280.0,-6.61948,254178834.0,06/21/2025 21:53
wrapped-eeth,weeth,Wrapped eETH,2420.4,5916533652.0,-6.61444,4092991.0,06/21/2025 21:53
hedera-hashgraph,hbar,Hedera,0.136644,5771194585.0,-5.79507,124225672.0,06/21/2025 21:53
monero,xmr,Monero,307.65,5674850008.0,-2.97377,56419126.0,06/21/2025 21:53
ethena-usde,usde,Ethena USDe,1.0,5601647152.0,0.02473,98950900.0,06/21/2025 21:53
polkadot,dot,Polkadot,3.27,4974561441.0,-5.12977,196366681.0,06/21/2025 21:53
bitget-token,bgb,Bitget Token,4.19,4908833376.0,-1.13482,61815845.0,06/21/2025 21:53
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,102311.0,4734483289.0,-1.05012,288417162.0,06/21/2025 21:53
pepe,pepe,Pepe,9.22e-06,3873704137.0,-8.1292,761008719.0,06/21/2025 21:53
uniswap,uni,Uniswap,6.41,3836837163.0,-9.05846,653062752.0,06/21/2025 21:53
pi-network,pi,Pi Network,0.500881,3734541318.0,-7.66964,87865130.0,06/21/2025 21:53
dai,dai,Dai,0.99985,3727451655.0,0.00662,50212791.0,06/21/2025 21:53
aave,aave,Aave,232.66,3519730699.0,-5.77492,373324089.0,06/21/2025 21:53
ethena-staked-usde,susde,Ethena Staked USDe,1.18,3188049295.0,0.07085,13019324.0,06/21/2025 21:53
okb,okb,OKB,50.81,3041407108.0,-2.43063,10948040.0,06/21/2025 21:53
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2891612149.0,0.0,0.0,06/21/2025 21:53
bittensor,tao,Bittensor,312.82,2774090028.0,-8.29554,128822685.0,06/21/2025 21:53
aptos,apt,Aptos,4.09,2629657847.0,-5.43498,333390381.0,06/21/2025 21:53
crypto-com-chain,cro,Cronos,0.083197,2587939090.0,-5.42136,18699072.0,06/21/2025 21:53
susds,susds,sUSDS,1.056,2569325618.0,0.00899,10369178.0,06/21/2025 21:53
internet-computer,icp,Internet Computer,4.68,2502328386.0,-5.58289,62643885.0,06/21/2025 21:53
jito-staked-sol,jitosol,Jito Staked SOL,163.13,2407638267.0,-3.78599,30824746.0,06/21/2025 21:53
near,near,NEAR Protocol,1.94,2382564794.0,-6.99968,155119104.0,06/21/2025 21:53
ethereum-classic,etc,Ethereum Classic,15.48,2358049393.0,-4.26257,70274904.0,06/21/2025 21:53
