id,symbol,name,current_price,market_cap,price_change_percentage_24h,total_volume,pulled_at
ripple,xrp,XRP,2.06,121309000000.0,-2.96031,2183038638.0,6/21/2025 19:17
binancecoin,bnb,BNB,628.47,91685135561.0,-2.06235,707252328.0,6/21/2025 19:17
solana,sol,Solana,135.23,71991490246.0,-3.28344,4110724557.0,6/21/2025 19:17
usd-coin,usdc,USDC,0.999803,61244373512.0,-0.00014,7213875404.0,6/21/2025 19:17
tron,trx,TRON,0.270574,25653429483.0,-0.54243,535518813.0,6/21/2025 19:17
dogecoin,doge,Dogecoin,0.15453,23152948182.0,-4.83009,921786775.0,6/21/2025 19:17
staked-ether,steth,Lido Staked Ether,2279.28,21047554696.0,-5.0035,18231443.0,6/21/2025 19:17
cardano,ada,Cardano,0.5528,19963900659.0,-4.44553,621114192.0,6/21/2025 19:17
wrapped-bitcoin,wbtc,Wrapped Bitcoin,101816.0,13127313900.0,-1.19806,222437363.0,6/21/2025 19:17
hyperliquid,hype,Hyperliquid,33.81,11444845504.0,2.43287,324178516.0,6/21/2025 19:17
wrapped-steth,wsteth,Wrapped stETH,2773.78,9810264528.0,-4.1839,12159233.0,6/21/2025 19:17
bitcoin-cash,bch,Bitcoin Cash,464.13,9230192224.0,-1.54531,272649653.0,6/21/2025 19:17
sui,sui,Sui,2.57,8729596873.0,-5.39746,841696360.0,6/21/2025 19:17
leo-token,leo,LEO Token,8.96,8273328843.0,0.94403,2394037.0,6/21/2025 19:17
chainlink,link,Chainlink,11.98,8126861280.0,-4.22833,328855794.0,6/21/2025 19:17
stellar,xlm,Stellar,0.235996,7369676964.0,-2.4284,141514404.0,6/21/2025 19:17
usds,usds,USDS,0.999787,7130429256.0,0.00559,3426394.0,6/21/2025 19:17
avalanche-2,avax,Avalanche,16.79,7088445147.0,-3.57705,350358927.0,6/21/2025 19:17
the-open-network,ton,Toncoin,2.86,7042554153.0,-2.43025,149206534.0,6/21/2025 19:17
whitebit,wbt,WhiteBIT Coin,48.51,6997645308.0,-0.94665,37778026.0,6/21/2025 19:17
shiba-inu,shib,Shiba Inu,1.09e-05,6410310547.0,-3.81823,135181569.0,6/21/2025 19:17
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.001,6293440328.0,0.21147,5639945349.0,6/21/2025 19:17
litecoin,ltc,Litecoin,80.0,6080639169.0,-3.51838,276981068.0,6/21/2025 19:17
weth,weth,WETH,2276.84,5999051738.0,-5.08539,62693371.0,6/21/2025 19:17
wrapped-eeth,weeth,Wrapped eETH,2439.51,5955101517.0,-4.95849,3992447.0,6/21/2025 19:17
hedera-hashgraph,hbar,Hedera,0.13724,5796913666.0,-5.16346,111451817.0,6/21/2025 19:17
monero,xmr,Monero,308.43,5684506528.0,-0.45036,56825961.0,6/21/2025 19:17
ethena-usde,usde,Ethena USDe,0.998981,5589495212.0,-0.11968,98620923.0,6/21/2025 19:17
polkadot,dot,Polkadot,3.32,5047300681.0,-3.59527,183257314.0,6/21/2025 19:17
bitget-token,bgb,Bitget Token,4.2,4908799514.0,-0.76936,57990431.0,6/21/2025 19:17
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,101844.0,4729498638.0,-1.16555,257617218.0,6/21/2025 19:17
pepe,pepe,Pepe,9.29e-06,3910523032.0,-5.66029,695735362.0,6/21/2025 19:17
pi-network,pi,Pi Network,0.513575,3881187653.0,-5.3009,71431703.0,6/21/2025 19:17
uniswap,uni,Uniswap,6.4,3845150208.0,-9.18257,587357814.0,6/21/2025 19:17
dai,dai,Dai,0.999687,3714841586.0,0.00473,56435192.0,6/21/2025 19:17
aave,aave,Aave,233.58,3554262000.0,-5.36099,332769939.0,6/21/2025 19:17
ethena-staked-usde,susde,Ethena Staked USDe,1.18,3187606920.0,0.03301,15338439.0,6/21/2025 19:17
okb,okb,OKB,50.82,3044040937.0,-1.92159,9974622.0,6/21/2025 19:17
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2891612149.0,0.0,0.0,6/21/2025 19:17
bittensor,tao,Bittensor,315.23,2808314702.0,-7.10866,112475812.0,6/21/2025 19:17
aptos,apt,Aptos,4.15,2680180757.0,-2.86527,339767646.0,6/21/2025 19:17
crypto-com-chain,cro,Cronos,0.084211,2632845786.0,-4.23144,18018186.0,6/21/2025 19:17
susds,susds,sUSDS,1.056,2569304495.0,0.01344,10502134.0,6/21/2025 19:17
internet-computer,icp,Internet Computer,4.76,2568852302.0,-3.29636,54931953.0,6/21/2025 19:17
jito-staked-sol,jitosol,Jito Staked SOL,163.46,2432968258.0,-3.38153,37691450.0,6/21/2025 19:17
near,near,NEAR Protocol,1.97,2424985324.0,-5.02644,131797967.0,6/21/2025 19:17
ethereum-classic,etc,Ethereum Classic,15.54,2367875025.0,-3.48947,66427673.0,6/21/2025 19:17
bitcoin,btc,Bitcoin,102477.0,2036843862642.0,-0.79366,23813129110.0,06/21/2025 19:32
ethereum,eth,Ethereum,2284.62,276298731844.0,-5.25014,16912473059.0,06/21/2025 19:32
tether,usdt,Tether,1.0,155827218537.0,0.01703,39343840420.0,06/21/2025 19:32
ripple,xrp,XRP,2.07,121859338190.0,-2.48261,2218994765.0,06/21/2025 19:32
binancecoin,bnb,BNB,629.76,91849684869.0,-1.93347,533561266.0,06/21/2025 19:32
solana,sol,Solana,136.06,72287850588.0,-2.80671,4157991594.0,06/21/2025 19:32
usd-coin,usdc,USDC,0.999802,61243102855.0,0.00026,5130342162.0,06/21/2025 19:32
tron,trx,TRON,0.271382,25736405413.0,-0.20012,548304803.0,06/21/2025 19:32
dogecoin,doge,Dogecoin,0.155378,23263747786.0,-4.52241,942980897.0,06/21/2025 19:32
staked-ether,steth,Lido Staked Ether,2283.33,20934298612.0,-5.31436,18759139.0,06/21/2025 19:32
cardano,ada,Cardano,0.556087,20092316909.0,-4.23379,666198493.0,06/21/2025 19:32
wrapped-bitcoin,wbtc,Wrapped Bitcoin,102340.0,13181514224.0,-0.81214,226837996.0,06/21/2025 19:32
hyperliquid,hype,Hyperliquid,33.86,11324551498.0,2.12418,326554419.0,06/21/2025 19:32
wrapped-steth,wsteth,Wrapped stETH,2761.14,9801136329.0,-5.08092,15878201.0,06/21/2025 19:32
bitcoin-cash,bch,Bitcoin Cash,465.7,9272077088.0,-1.07211,279016813.0,06/21/2025 19:32
sui,sui,Sui,2.59,8782820014.0,-4.89153,855023951.0,06/21/2025 19:32
leo-token,leo,LEO Token,8.97,8284528221.0,1.07247,2421756.0,06/21/2025 19:32
chainlink,link,Chainlink,12.05,8170298962.0,-4.14181,329567007.0,06/21/2025 19:32
